,index,sentence,label
36,38, He's honest  doesn't sugar coat things and his advice has helped me get through 10 years of liver disease  a cerebral hemorrhage and a transplant,0
37,39,is probably one of the hardest things for her to do,4
38,40, what my options are now with the cancer remaining in my liverHugs and God Bless Connie,8
39,41, if you fall off the wagon before your next appointment in october  do not bother coming,8
40,42,also our neighbor is on disability and he's going to come over everyday and check the house for us,8
41,43,Hey Deb   I just went to another thread and see your situation with the Xifaxan,8
42,44, My advice it put it off retirementas long as possible,1
43,45, I think I am fairly mentally healthy--no symptoms of anything  and no drugs/alcohol,0
44,46,Hi trish I can't think of anyone here who would think you were big-headed,1
45,48,  He is very down because he feels it is his job to take care of the family - but currently he is unable to,4
46,49,  Also the water thing - yes I do drink a lot of water anyway,8
47,50, Her prograf level came back this morning and it was perfect - exactly within the range that they want,0
48,51, Have a good day and hopefully all your sides leave,1
49,52, doctors gave her 3 months then if she continues to drink she does and she is still here,0
50,53,I am feeling fat this week  - I overate during the holidayI am getting ready to walk on the tread mill - going to walk about2,4
51,54, My billi got as high as 33 or 34  itching was never a problem oddly enough,0
52,55,I don't know whether infections mess up your transplant position,8
53,56,  I am shocked that Mayo gave HER such a bum deal too and here she was tirelessly giving her all to this forum,6
54,57,CindyI am so sorry to hear aboutthe loss of your boyfriend,4
55,58,  I looked back at his prior radiology  notes and labs and there was nothing that I could read aboutthis being a concern until now,3
56,59,Rick's getting tired of sleeping on his mattress  as the Benjamin's are getting lumpy,8
57,61,it is the last stage of liver disease prior to death,8
58,62, you all have so much more going on and i never see you whining like that,6
59,63, All of this happened 6 months after treatment #2  and achieving SVR24,8
60,64, Livers are a specialty and those with the certification in that are your best choice,8
61,65,   hope all my dragon slaying team is starting out the week well,2
62,66,after the first surgery she was not in her right mental state  she kept asking for her mom and dad who have been dead for years and i had to keep telling her they were gone,4
63,67,  Hopefully it takes another 40 years to get him again,6
64,68,Our best to you both that Thursday is relisting day and T days is near,0
65,69, Yes I am angry with you but I don't hate you and if you stepped back and viewed David in the light of what I have said aboutsuffering through this disease you would see a different man in him ,6
66,71, I am sorry to hear aboutthe decline of your SIL and the problems you all find yourselves with,4
67,72, There IS a difference and I have seen it first hand working with them,8
68,73,basically  we were not approved for SSI Disability benefits  because he had not paid enough into it in the last 5 years  so we applied for SSI the one based on lowerr income,8
69,74,SIgnificant blood results:AST/ALT  28/30Createnin 1,8
70,75,  The substance becomes the most important thing in the world,8
71,76,To my surprise  I couldn't find any website or information aboutthis supplier on the internet,3
72,77,carol  i am so praying that my story will turn out like yours and mikes     pray pray pray,2
73,78, I got my first set of labs back  looked online and haven't spoken to the nurse she just does hep C patients,8
74,79,   With the suppressed immune system patients get infections frequently,8
75,80, She has even started helping me plan for a Indian Wedding Ceramony for next year,0
76,81, I kept coming up positive for opiates and I wasn't even eating poppy seed rolls,3
77,82,My husband had 4 varices banded in the initial emergency  4 varices banded in follow-up one month later  2 varices banded in the 3rdmonth  then he was clear upon the 4thmonth,8
78,83,  But now that things are back to normal - all good,0
79,84, He will drag you down to his level and beat you with experience,5
80,85,now not all are the same  everyone is different and for me i knew from that little that my mom was dying,4
81,86,Butterfly  you are correct aboutMedicare except that it's from the date he applied  not from the date approved  assuming one is approved  of course,8
82,87,Leslie When my hubby got approved for medicaid  it was immediate that he started getting that benefit,8
83,88, He would really like to see 2 new drugs to come out then I would not have to worry aboutgoing on Interferon since that is what he thinks caused the ITP,2
84,89, exactly to the hour a year ago is when it started so this is an odd day,4
85,90,Connie  We did give her the lactulose  but it just doesnt seem to be as effective as it used to,3
86,91, I think they are taking away far more than they are giving  when one considers cuts to education and other areas,5
87,92,  he would be able to change docs  but I don't think that's the case with NHS,8
88,93,it will keep you in the bathroom and out of trouble,1
89,94, Pip  Pip  cheerio and whatever you people say when the sun goes over the overpass,8
90,95,  They stopped my diuretic and just put me on 5mg of Amiloride because my potassium level was low and I was having hand and feet cramps,8
91,96,thank-you for your time i apoligize in advance for the spelling-can\'t find how to run spellcheck,1
92,97,My guess is the fluid issues will increase and paracentesis will need to be put on a blanket order from his Doctor,8
93,98,  If he had been stable enough to travel when he was in the ICU  they would have sent him to Strong Rochester  NY for a transplant right away I was told,8
94,99, Had it not been for the encepalopathy experience  I probably would never have found out I had end  liver disease   Don't have hepatitis B or C  had A as a child but they say that is unrelated ,8
95,100,our members are unparalleled in the compassion and live disease education department,8
96,101, I also explained to him that I had asteroidshot the day before the last draw  for thehivesthathad gotten out of control,8
97,102,  WOW It must have been pretty traumatic and I'm sure a long  exhausting and difficult road for both of you to get here ,3
98,103, Last year I spent most of my time concentrating on hubby and his health and sobriety,8
99,104,Your doctors team should walk you thru the program for fatty liver,8
100,105,   Again hope it says non detected  - I will keep this site updated,2
101,106,  At this point I don\'t know yet if I am cured or not,2
102,107, My CMV level was 3000  positive but not super high,8
103,108, For now though the first dose is staying down with no problems,0
104,109, But unfortunately when they are still drinking  there's not much they're going to do,4
105,110,do they re-list at whatever the score is that they run on Thursday,8
106,111,SW - I'm not adoctor but I am educated in general and have read in fact too much on liver disease before I even knew what I was dealing with,8
107,112, It will consist of online surveys and it will take about15-20 minutes to complete,8
108,113,will be a long time before hubby comes home    the deal was he had to get sober,8
109,114,You are not treating long enough to get Riba Rage hopefully,1
110,115, Read through some of the old posts and you will learn a lot,1
111,116,I know how you feel when you say you don't know how to break it to your husband,1
112,117, They have her on so much lactulose at times she cant stay out of the bathroom,8
113,118, ask the doctor aboutlasix and aldactone and lactulose,8
114,119,He had a liver transplant about3 years ago now and it happened again,1
115,120, Otherwise  you and your kids will be uprooted and your relationship with Mark might be broken beyond repair,1
116,121, Youtube has some pretty crazy stuff that will keep you laughing for hours ,0
117,122, It has been 14 years now and I still get a tear when talking aboutit,4
118,123, I\'m not a moderator but I\'m sure one will be logging on shortly to give you some expert advice,8
119,124, She seems in higher spirits after her nap  which is always good,0
120,125,An ultrasound should indicate a tumor  if there is one  though if it is very small it might be missed,8
121,126,  He  has been cooking again  and we have begun to socialize with our friends again,0
122,127, I know a couple that got divorced to get health benefits  its a crazy world with this stuff,5
123,128,  I have been able to bounce out of bed  go for a jog  ride a bike  and lots more,0
124,129,That's what we are afraid of Connie  that one day she is going to go take a nap and not wake up  but I would much rather her go peacefully than in pain,2
125,130, Today\'s letter from the hospital has six more things that have to be done  more test\'s never ending I don\'t have a life all I do is chauffer my husband to AA meeting\'s  doctors offices and endless trips to the hospital  I am so tired and so lonely,6
126,131, I truly think that he feels like his life is almost over and its not worth the fight to him,4
127,132, I have never heard of the crystals so I'll be looking that up,8
128,133,I used to be a heavy drinker- in fact  it was because of slightly elevated liver enzyme levels that a doctor did a Hep test on me when I was in detox and let the HCV cat out of the bag as it were- but frankly I didn't care much aboutlife at that point,1
129,0, The only problem is she didnt get it until yesterday,6
130,1, Yeah  I don\'t think I\'ve ever come across an SSS patient that didn\'t end up with a pacer  although I\'m sure they\'re out there,1
131,2,All I would add is that just because two health events occur at the same time  it does not mean they are related- or not related,8
132,3,  Hubby is much more clear minded  wants to take classes to further self educate himself and does now talk aboutthe future,7
133,4, She is crushed at his demise  at her unbelievably strong denial  and at her clear contributions to his self-destruction,4
134,5,We already know that the next bad spell will probably be the last  since her airway always tends to close up with them,4
135,6, We have it as controlled as we can get it  but he has had a hepatic seizure and significant problems requiring hospital and EMT's  due to this condition,2
136,7,There are a number of surgeons that will do these distal pancreatectomies laparoscopically  but not mine,6
137,8, Myscan  mri  liver function  metabolic and other tests werebeautifully normal,0
138,9, Also  there are kidneys  lungs and pancreas transplants mixed in,8
139,10,  I have a file for all these that will go with us to all medical appointments and any time she is admitted to hospital,7
140,11, However  there are only a few live cancerous cells on the upper periphery of that,0
141,12,My mom suffered from end stage liver diease and atlast she died in 2 years after detection of the diease,4
142,13, I\'m curious aboutthe statement that he could\'ve been transplanted right away in Rochester,7
143,14,  Ive also had seizures they cant explain that were when my ammonis was high ,2
144,15,The loss of time is pretty typical of liver disease,8
145,16, I talked abouther quite a bit and he really admired her didn\'t we all,0
146,17, and so far the worst thing has been i forget the darn pills LOL So relax,1
147,18, Also I love to swim and there a pool nearby that'sopen in the eves,0
148,19, All I want is to be happy again and have the energy that I had before,4
149,20, Whatever they added to the lactulose is seeming to help  for now,1
150,21,I will ask some questions and see what we can do to be supportive to you and for her benefit  as well,7
151,22, When I was diagnosed I had no idea why I was feeling the way I was,2
152,23,****Quick update****I just got a call from our Transplant Nurse from UMDNJ,8
153,24, I don't actually have insurance and am only on medicaid so maybe that's the deal with having to do the old meds first,5
154,25,  She is scheduled for a Gastro specialist tommorrow,8
155,26, He\'s on 4 Lactulose a day  and 2 Xixifan along with probiotics and a host of other meds - could this be DIABETIC Encephalopathy,8
156,27, My grandfather was an alcoholic  He died when I was a baby  but I heard all the stories from my mom and sister,4
157,28,as for the clotting bloods i have another sheet from his full blood count but nothing that matches the letters you spoke about,8
158,29, A hep experienced in autoimmune diseases will be invaluable,8
159,30,  My brother just took and took  and she let him  despite my pleadings that sheopen her eyes,4
160,31,As Mary stated  sometimes people do come back from the very brink--just as her husband  David  Rick  and I did,1
161,32,  It took him abouta year to get himself back together,0
162,33,David   I am beginning to think our little  Princess  is pregnant ,8
163,34, I want you to know there are years and years of experience of those who have  or love someone with liver disease of all sorts on this forum,8
164,35,  I'm glad I found this site  it's a good place to go to give support and to get support,0
165,36,  They gave him Tramidol for the pain which didn't help and the dr ordered some Morphine that he got at 4:00pm on Saturday,2
166,37,  These are helping me quite a bit  not only with Dougie's issues  but the things I have learned have helped me to cope with the various health issues we have been facing,7
167,38,I went through this with my mother--she was a lifelong alcoholic  until she ended up in a NH,4
168,39,Some hours she seems okay relatively speaking and she is quite lucid,0
169,40,  Organizing all this can be very difficult and stressful when you are dealing with Hep C and the other related problems that you face,2
170,41,Since he's due to go back in June I'm sure his GI Doc will do it  but I wanted to be able to monitor it along with the rest of his blood work  so I wanted a better understanding of it,7
171,42,  However  there is a program through the manufacturer to obtain it free if she qualifies,1
172,43, but a dog lover like yourself will understand where I am coming from,8
173,44,  This is the first time they have even seen her in over 2 1/2 years due to her doing,0
174,45, And when my ex husbands father passed away from a liver diease they wouldnt put him on there because of his alcohol abuse and diabetes,6
175,46, I would highly suggest talking to the doctor aboutsomething to help when she's aggitated Xanex or Ativan  also an anti-depressant and a sleeping pill,8
176,47,Hi john Congratulations on doing the right thing and finding out what was ailing you,1
177,48,I'd mention it to the doctor and see if he can possibly switch him to something else,1
178,49,I am just getting ready for the worst  but always praying for the best,7
179,50, In the end  she may just go into a coma before she dies,2
180,51,  I woke up this morning feeling pretty darned fine today,0
181,52, He has forsaken his coon hound  for a guinea pig  but sleeping away warm summer days in the hammock is still part of his heritage,8
182,53,i will not lecture you any more as this is a last ditch attempt,5
183,54, We have a few here that seem to avoid reality by attempting self diagnosis   And others who will go out of their way to support that sort of behavior ,6
184,55, my hubby was given diazapam a few years back to do a home detox,8
185,56,  I\'m not sure how difficult it would be to reapply,2
186,57,  I am trying to get my medical shy husband to read it to prepare him for my eventual transplant,1
187,58, For me its vital I keep up my spirits and support group,7
188,59,  I am saddened to hear of your ongoing medical troubles,4
189,60, I know this is to get us out of the current mess  but some will undoubtedly suffer,6
190,61,If your brother won’t go to rehab  he is pretty much doomed,5
191,62,Hi Natty    Beef is too hard for a decompensated  liver to process,8
192,63,With a clean healthy lifestyle  there is good newsfor you,1
193,64,  So go for the mini vacation and enjoy the heck out of it,0
194,65, this causes nose to run and eventually it will start causing a lot of flim in your bronchial tubes and throat,8
195,66, Has your dr mentioned if you have developed the anti bodies to hep A,8
196,67, I\'m told he\'s the best transplant surgeon around Boston and he\'s a nice guy to boot,1
197,68, Crying off and on all day  when you touch her or try to get her to sit back,5
198,69, I have all of my records  but those are old 2005/06/07/08/09 and aren't online,8
199,70,  He\'s kind of like the total package if it were possible to suck the booze out of him:  good looking  charming  funny  super smart  creative  artistic  motivated  adventuresome  curious  loyal  etc,0
200,71,Side note: I originally was told I had autoimmune hep when diagnosed in 1990,8
201,72, If he writes an Rx for it  she could get it free durable medical equipment,0
202,73,SW  it sounds like you fall in that gray area--make too much to qualify for anything  but not enough to pay for what you really need  or are just barely able to do so,8
203,74, was diagnosed with liver cancer July 2010  was listed for transplant in August 2010,0
204,75, i could see my mums mood change she would say anything to doctors to make them believe she was going to try and stop,6
205,76,Seems to me that it may be helpful to look at this from 2 angles - one is the AIH and the second is the immediate issue of the hepatic encephalopathy,8
206,77, if u need medications your dr may be able to give u samples,1
207,78, I have a prescription that I take to a lab monthly to get a new MELD score,8
208,79,Hi  I am in Ontario and my insurance is with GreenShield and apparently my husband's company has not yet approved the Galexos + sovaldi treatment that my doctor wants me to go on,6
209,80,She was angry when we left the doctors office at first because he wouldn't give her pain meds  but quickly calmed down after understanding the need for blood work first and all that,6
210,81,I hope you can go with him to the appt and that it goes better than you expect,1
211,82, No one knows if this guy has liver disease  yet he gives advise to those who truly are sick,6
212,83, The fatigue that you HAVE had gives you some idea of what it's like to feel that way ALL the time,5
213,84, So now we just live the best life we can but my heart feels as it has been ripped out of my chest,4
214,85, I appreciate everything people suggest and you just never know what might work,0
215,86, Mark has missed so much work that he only has 8 days left of FMLA and he is the only one working right now,2
216,87,  I believe even though she ask them not to call us it was the nurse's angel wings that had her call us so that we knew just how serious she was at this time,0
217,88,emma  angie  i hope you are doing ok  keep on keeping on,1
218,89, the help he receives financially from the government has been stopped due to the fact  he is not deemed ill enough to receive it,6
219,90,  I am so sorry that your father is having to deal with this disease,4
220,91, Also  my mother also had Hep C and almost died with the Interferon treatment,4
221,92,I was just tested for Hep-C -   non detectedI don't have the numbers to post - just sooooo glad non-detected,0
222,93, And we go broke  loose all we worked for and dreamed of,2
223,94, I stay in the room a lot Bc I feel safe there and I just lay in bed on my phone for long periods of time Bc I lost motivation in doing things that I use to do anymore,4
224,95, It's exciting to hear that there may be a way to reverse some of the damage,0
225,96,  And it is sooo difficult to get her in and out of the car to her Dr appts,6
226,97, sounds like you have your thinking pretty clear on what is happening,7
227,98,Now that you know what happens when you take Septra  I suggest you stay away from allsulfa drugsaltogether in the future,5
228,99, If we get through tonight we are having a serious talk with her doc,2
229,0, I took one pill yesterday and I felt really anxious and different so I didn't take it today and I have a headache,2
230,1, Best to you and your daughter as the anniversary approaches,0
231,2,I was really afraid of the side effects but don't seem to have any,2
232,3,'thanks sandi  might have to invest in another bathroom then  the rest of us arent getting a look in,1
233,4, I feel confident I am going to get my husband back,0
234,5, I'll ask aboutrecommendations on the milk thistle then as well,7
235,6,  It seems like in order to get care that a patient needs the entire family is forced to be wiped out financially,3
236,7, My docs had no problem with my use of it  but they seem to be the exception,3
237,8, An hour later he had a hepatic seizure  turned blue and quit breathing,3
238,9,  Able to get up early on a saturday and sunday instead of crawling downstairs at 1,0
239,10, We are on the same regimen as we both are the same genotype  but you are well ahead of me,8
240,11,  i hope that makes you feel a bit better abouthim being there,0
241,12,It was brutal \'\' said Paul Lorenz  a patient of Gish who spent 66 weeks undergoing interferon treatment,4
242,13, I have survived two hits of cancer  a liver transplant and taken multiple meds,7
243,14, And no  it's actually his mom that is getting married and it is this Sat,0
244,15,Hello David and Ziffle  and anybody else with a lot of time on their hands Gee whiz  I can't remember taking my lactulose this morning  all I do know it's fun walking around nude,0
245,16, Know you and your husband have done everything possible for her and some things we just have no control over,1
246,17,  He\'s tired from the minute he gets up  till he goes to bed at night - though he\'s sleeping at least 7-8 hrs,4
247,18, the specialist at the moment  is not willing to see him sooner than the november appointment,5
248,19, We were hoping that the meds would work their magic but that just was not happening,4
249,20, Apologies for massive paragraph  I'm using my mobile and can't take a new line,8
250,21, Your situation is bad in that you do not get the same care we do here and that is sad for you,4
251,22,  I developed some edema in my feet and calves  especially in the summer,4
252,23, When I go on the Internet I can't make heads or tails of the info I get,6
253,24, Hide the ATM/debit cards  charge cards  blank checks  and anything else that he could use to buy alcohol,1
254,25,after a HUGE battle with his insurance company every time,6
255,26,  This is an expensive med that insurance companies balk at paying,5
256,27, I\'m still a little tired  but it\'s long overdue for me to learn how to take care of myself better  and I\'m learning how to rest a bit more,4
257,28, No need to thank me for the advice   I read it on the internet and just repeated it to you ,1
258,29,  I will keep you in my thoughts and prayers that an easier road is ahead of you,7
259,30, I can't believe it when people say they won't take it due to the taste,5
260,31,As much as I love him and wish things to be different ,4
261,32,  He told Mike he was very ill  that he should put his affairs in order because he had 3 months max,4
262,33,I did have a headache fog day for two but other then that feel normal,8
263,34, How can you read these dreadful tales of woe that we all testify to and callously ignore the warnings is beyond me ,3
264,35,I was there  so unpacked for the night  stayed with him  and the next morning he won\'t get up to eat breakfast  or dinner and complains abouthow hard it was on everybody ,4
265,36, I will be starting TX and can't wait to hear how you are ,7
266,37,I took Lactulose daily for a year multiple times a day at the onset ,1
267,38, I think this is grossly unfair as there are very few of them and very far in between,6
268,39,  I translate it into his utter sadness  despair  regret  and fear,4
269,40,    I have already been diagnosed with gall bladder that needs to come out,4
270,41, I really don't want to stop the treatment as I have cirrhosis stage 3-4 and need to get RID of this nasty virus,6
271,42, I think I have gotten about100 new grey hairs in the last week,4
272,43, The value to these patients  and to their loved ones and society - you can\'t put a price tag on it,1
273,44, I went to the doctors and explained that I isolate myself a lot and that I'm scared to talk to new faces I get like really anxious Bc I feel like they think I'm weird,2
274,45,The labs were worse and worse as his Hep C kept on attacking the new liver until he had treatment  and then his numbers settled down again  but he has some liver damage from that in between time,2
275,46,  I dont like only taking - which is why I drift into trying to give or have done in the past,1
276,47,  I also knew my stomach was swelling from ascites  but it was just my plain old fat tummy  lol  that was protruding,3
277,48,David it's time to lock this thread due to it's length,8
278,49, at that point in time  i quit drinking and followed a semi healthy lifestylegood food and exercise,0
279,50,Needless to say no one was in any danger but after that I went on a mission to find what was causing the sudden mental issues,0
280,51, Kelly do you ever tire of hearing or seeing the constant barrage of  My so and so is treating me like crap and he won\'t quit drinking  ,4
281,52,  After a few days I never took the riba all at once  I waited a half hour to an hour between pills,1
282,53, many prayers will be said for you to win this battle,1
283,54,'Hi Connie I never thought about how tough it was  I knew stopping work or the treatment  would be the end of a normal life as I knew it,2
284,55, I am so thrilled with hopes those of you treating now will avoid the nastiness of ESLD  HE and needing a transplant,0
285,56,  We went to lunch  and to a park when came home where he greeted our critters  took a pain pill and borrowed down in his old bed  so comfy sleeping off the pain,0
286,57, Iron/ferritin levels have not increased significantly  enzymes  CBC  CMP are normal except for elevated MCV and low platelet count 148 as the lowest,7
287,58,  They gave that to my husband for his cramping also,1
288,59, I know we can be of help to you  both for support and information,1
289,60,Emma  a biopsy is the definitive way to determine the extent of liver damage and what is really going on,2
290,61, Other posters I myself have learned to respect and love are Butterflythree  hep93  myfather  moms will to live  and many others,0
291,62,he gets a monthly breathing treatment in its place and he's off of valcyte now ,0
292,63,If she was fine before the fall  and now all this  I think I would put her in the hospital for more testing and observation ,7
293,64,The oldest one is angry at her and is slowly dealing with that and there will be the time where he will confront her on all of his issues  but only when he is ready,6
294,65,  Trouble is for about 6 weeks I've had severe debilitating joint pain ,4
295,66, Then I read Rick's posting on another site and realized I was back where I belonged,1
296,67, Mine wasn't caused by anything in particular but there are some medications that can trigger it,8
297,68,In my case  the tumor HAD ruptured prior to laparoscopic resection of the appendix and the mucin spread around,4
298,69,David your post have been so helpfulto me and my husband,0
299,70, Got call today that I am positive for CMV infection,2
300,71,'thanks connie  i think  that the actual results are left and the normal ratio is right on this paperwork  heres a few examples,3
301,72,The specialists also said it was better that he eat something that will help him put on weight  rather than continuously watch the sodium  so he was allowed to have gravy etc that I would normally carefully monitor,7
302,73, Try to calm down and concentrate on what comes next,1
303,74,  This disease has shown me that I am human and this tx has made me humble,0
304,75,My sis is stable  no short term memory  but doing well with 70 hours of home health care a week and all her meds  drs stuff  and $$$ looked after for her by me,7
305,76, It\'s really funny he sleeps so soundly at any time  I could go over and whip an eyebrow off,0
306,77,You have read our stories and likely know many of our members here have successfully treated with Solvaldi/riba,0
307,78, I kept looking for you to tell you how good it turned out,0
308,79,  Sorry to get on my soapbox but I really do think the tendency of pharmacy is to over medicate with the goal of people falling in to some arbitrary ideal range,6
309,80,Natty  it sounds like you went through a very rough time with pneumonia,4
310,81, The time frame they have given you/her is a standard with alcoholics,1
311,82,  Still got the flu like symptoms - but today I don\'t feel like I don\'t like myself,3
312,83, This is known as a bridge to a transplant  and if he was told he needed a transplant,3
313,84,Hoping you all are getting Hep C treatment  waiting for your transplants  getting your AIH meds under control  etc,0
314,85, From the time I was first diagnosed with C in '93 until about 2 years ago  I felt fine except for extreme fatigue,0
315,86,  Can't say I wasn't a nervous wreck at this point about this decision,3
316,87, Don't drink or smoke either and haven't since my diagnosis,5
317,88,I have stage one in disease and stage one in scarring,2
318,89,  I know i tried wearing different shoes  etc but nothing seemed to work,6
319,90, Later that evening I got a call from my hep  the numbers were up again,4
320,91,  This is due to changing diet  following doctors orders  but most importantly NO ALCOHOL,4
321,92,  First thing we noticed was worse insomnia and Riba Rage,6
322,93,  You know that nobody can really say how long he has left  as everyone is different,4
323,94, I can't comprehend how two of your family members have already passed on with liver disease,5
324,95, I ain't quite sure how the Rabbi's handle that sort of thing but it can't be pretty ,2
325,96, in the hospital--a long trip--and I was really tired,4
326,97, My mom got C Diff when she was in the skilled nursing center,0
327,98, After an Ultrasound and CT Scan  he has Fatty Liver at the least and his liver is too big for them to see if he has any Cirrohsis,2
328,99,I told him don't worry about not being able to work  that I made enough to support us both,0
329,100, I thought what's the use in yelling so I just pretended to talk through crying,4
330,101,  Flaming and insults  however  will not be tolerated,5
331,102,'Hey everyone  just wanted to let you know I have been thinking aboutyou all,0
332,0, I didn\'t get it because there was no gap between the time I was approved and when I got Medicare,3
333,1, But  with regard to his last labs from 3 months ago,8
334,2,Trust me - ex smokers  ex drinkers  my own company for 10 years - takes a lot of willpower - I am all three of those,1
335,3, He began to question the man aboutwhen he first noticed this ,8
336,4, The only thing that keeps me going is the fact that there is still HOPE,1
337,5, my email and my yahoo addy are in my profile if you want to talk or need advice,7
338,6,As to your question if I notice the difference- I feel better than I have in years as of aboutweek one of treatment,0
339,7, eight hepatitis C cases are linked to the Shadow Lane facility and one to the Burnham facility,8
340,8,But later his specialists were so concerned abouthis lack of protein  weight and malnutrition that they recommended that he eat red meat,8
341,9, I just hate to see him that way and know there is not much you can do besides being there,4
342,10,  If Al is on no antibiotics he needs to keep himself and his hands scrupulously clean,8
343,11, I am a caregiver for my husband who has end stage liver disease,7
344,12, He has had a hard life with seeing and doing things,4
345,13, You are learning  and you also need support from those of us going through the same thing,7
346,14,I've had cramps in my toes when I'm lying in bed at night  but they go away when I get up and walk a little,8
347,15, You will get your protein and they are pretty tasty  plus lower in sodium that other brands,1
348,16,  Wishing Themister a flawless recovery from here on and both of you the ability to do everything that you have wanted to do while waiting for this miracle,0
349,17, B  most of the members here are caregivers/relatives/friends of people with ELSD/transplant/etc,0
350,18,We are patients and loved ones of those affected by liver disease  but are not doctors and we always recommend symptoms be reviewed by a physician,5
351,19,  It is a really wonderful to talk to others that are experiencing the same thing that you are and truly understand how you feel,0
352,20,  Our mom has been supporting him 100% for a very long time - rent  groceries  booze  cell phone  car  laundry  cooking  pocket money  internet  and on and on and on,0
353,21,  My potassium and magnisium levels are fine  but it wouldn\'t hurt to eat a banana to see if it would help,1
354,22, I couldn't tell you if this was a coincidence or not,3
355,23,I believe that a ultrasound can pick up very advanced cirrhosis,1
356,24, She should not have the serious bleeds from vertices  nor as much ascites with TIPS  but everyone is different,3
357,25, There are still things we just don\'t know abouttreatment,7
358,26,  Slept like a baby and have not had any anxiety/panic attacks all day long today,0
359,27,  Thank you so much for deciding to come back to the forum,0
360,28, and new posters feel like they cause offense and are shuffled off,5
361,29, I know other's will be along to give you more info from their experience and say hello,1
362,30, I\'m to have blood drawn in two weeks  and if that has bumped at all  he will do a biopsy,7
363,31, My sisters and I have spoke and if a nursing home is ever required we will all chip in,1
364,32, the Nef promises him a kidney next if it comes to that,1
365,33, I know it is hard to being able to do the things you used to because of this dreaded disease,4
366,34,I've been on food stamps when I was living with someone,8
367,35, We know no beef in her diet  but her doctor was saying basically no meat protein at all,3
368,36, We will be contacted social security for him for disability as well as calling the best nearby hospital liver transplant departments to see exactly what the steps are for documenting sobriety,7
369,37, Doctor said my liver funtion test is normal and DNA hep B virus count fall down compare with last year,1
370,38,I have had AIH for about14 years now and it has progressed to cirrhosis after a number of flares but is fully compensated i,8
371,39,  He's my big brother and I cannot stand the lying and watching him kill himself with alcohol,4
372,40, Evidently  at least here in TX  there is a medicaid spend down program,1
373,41, I have to run out for a bit and am trying to get through the new posts  but I will get back on later and try to do the mEq conversion,8
374,42, I read it could be used keep profression in check by reversing damage,1
375,43,Take a look at the amount of sodium in low sodium V8,8
376,44, You\'d be surprised at how many people will respond,3
377,45,When you get to the end of your rope tie a knot and hang onFranklin D,6
378,46,Thank you Ziff  yes it has been a challenge to find low-sodium stuff that she'll eat,0
379,47, They are so closely attached to us but it is truly amazing that the possibility can evenexist,3
380,48,  I know that meds can alter personalities and will have to deal with that as it comes and goes,7
381,49, His doctor and family need to make it clear to him that if he doesn't stop drinking he is going die,4
382,50,  I have been told that I am in charge of everything,7
383,51,  Learning aboutthe disease has only given me the strength to deal with the problems that come along with it,7
384,52, HE IS A RECOVERED ALCOHOLIC AND HAS CIRRHOSIS AND HEP,0
